video_tag,video,dataset,qp,path,frames,status
fresh_ulong_00,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,fresh_ulong,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/fresh_ulong_00_qp1_comparison.mp4,64,PASS
fresh_ulong_00,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,fresh_ulong,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/fresh_ulong_00_qp3_comparison.mp4,64,PASS
fresh_ulong_01,0834e99f-94bc-4568-a7c2-f7022dade8e1,fresh_ulong,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/fresh_ulong_01_qp1_comparison.mp4,64,PASS
fresh_ulong_01,0834e99f-94bc-4568-a7c2-f7022dade8e1,fresh_ulong,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/fresh_ulong_01_qp3_comparison.mp4,64,PASS
fresh_ulong_10,98881c99-ebda-4469-bbe4-0ee789ff217d,fresh_ulong,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/fresh_ulong_10_qp1_comparison.mp4,64,PASS
fresh_ulong_10,98881c99-ebda-4469-bbe4-0ee789ff217d,fresh_ulong,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/fresh_ulong_10_qp3_comparison.mp4,64,PASS
uvg_00,Beauty,uvg,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/uvg_00_qp1_comparison.mp4,64,PASS
uvg_00,Beauty,uvg,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/uvg_00_qp3_comparison.mp4,64,PASS
uvg_01,Bosphorus,uvg,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/uvg_01_qp1_comparison.mp4,64,PASS
uvg_01,Bosphorus,uvg,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/uvg_01_qp3_comparison.mp4,64,PASS
uvg_02,HoneyBee,uvg,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/uvg_02_qp1_comparison.mp4,64,PASS
uvg_02,HoneyBee,uvg,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/uvg_02_qp3_comparison.mp4,64,PASS
fresh_ulong_100,3ed03b37-46cd-442c-a790-29fd5ed72122,fresh_ulong,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/fresh_ulong_100_qp1_comparison.mp4,64,PASS
fresh_ulong_100,3ed03b37-46cd-442c-a790-29fd5ed72122,fresh_ulong,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/fresh_ulong_100_qp3_comparison.mp4,64,PASS
fresh_ulong_101,ce6f8354-ba57-487f-9f25-1b1271db4511,fresh_ulong,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/fresh_ulong_101_qp1_comparison.mp4,64,PASS
fresh_ulong_101,ce6f8354-ba57-487f-9f25-1b1271db4511,fresh_ulong,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/fresh_ulong_101_qp3_comparison.mp4,64,PASS
fresh_ulong_102,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,fresh_ulong,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/fresh_ulong_102_qp1_comparison.mp4,64,PASS
fresh_ulong_102,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,fresh_ulong,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/visualizations/fresh_ulong_102_qp3_comparison.mp4,64,PASS
