video_tag,stream_type,target_ratio,bitstream_path,bitstream_bytes,bytes_consumed,frame_count,shape_correct,finite,reconstruction_max_abs_diff_uint8,model_hash_before,model_hash_after,decode_status
fresh_ulong_00,baseline,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_baseline_original.bin,24325,24325,16,True,True,0,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,PASS
fresh_ulong_00,selected,0.9,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_100p0.bin,19575,19575,16,True,True,0,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,PASS
fresh_ulong_00,selected,0.6,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_3000p0.bin,14108,14108,16,True,True,0,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,PASS
fresh_ulong_01,baseline,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_baseline_original.bin,19210,19210,16,True,True,0,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,PASS
fresh_ulong_01,selected,0.8,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_3000p0.bin,13638,13638,16,True,True,0,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,PASS
fresh_ulong_10,baseline,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_baseline_original.bin,13042,13042,16,True,True,0,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,PASS
uvg_00,baseline,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_baseline_original.bin,8710,8710,16,True,True,0,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,PASS
uvg_00,selected,0.9,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_oracle_3000p0.bin,7129,7129,16,True,True,0,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,PASS
uvg_01,baseline,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_01_baseline_original.bin,11870,11870,16,True,True,0,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,PASS
uvg_01,selected,0.9,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_01_oracle_10000p0.bin,10648,10648,16,True,True,0,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,PASS
uvg_02,baseline,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_02_baseline_original.bin,13208,13208,16,True,True,0,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,befde9a1320539983fd25f21e6067ff1b2c0d033c1c69ce533f410722d2f3f37,PASS
